,Unnamed: 0,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,Typical_price,cum_avg,cum_vol,VWAP
41,41,EUR_USD,M1,False,11,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.1339,1.1339199999999998,298.23871,263,1.1339874904942966
42,42,EUR_USD,M1,False,12,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.13392,1.1339266666666665,311.84583000000003,275,1.1339848363636365
43,43,EUR_USD,M1,False,14,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.1339,1.1339199999999998,327.72071000000005,289,1.1339816955017303
44,44,EUR_USD,M1,False,15,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.13391,1.1339233333333334,344.72956000000005,304,1.133978815789474
45,45,EUR_USD,M1,False,18,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.1339,1.1339199999999998,365.14012,322,1.1339755279503105
46,46,EUR_USD,M1,False,19,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.13391,1.1339233333333334,386.68466333333333,341,1.1339726197458455
47,47,EUR_USD,M1,False,21,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.13391,1.1339233333333334,410.4970533333333,362,1.1339697605893186
48,48,EUR_USD,M1,False,22,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.1339,1.1339199999999998,435.4432933333333,384,1.1339669097222222
49,49,EUR_USD,M1,False,23,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.13391,1.1339233333333334,461.52353,407,1.1339644471744472
50,50,EUR_USD,M1,False,24,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.13392,1.1339266666666665,488.73777,431,1.133962343387471
51,51,EUR_USD,M1,False,25,2022-01-11T04:47:00.000000000Z,1.13395,1.13396,1.1339,1.13391,1.1339233333333334,517.0858533333334,456,1.1339602046783626
52,52,EUR_USD,M1,False,1,2022-01-11T04:48:00.000000000Z,1.1339,1.1339,1.1339,1.1339,1.1339,518.2197533333334,457,1.1339600729394603
53,53,EUR_USD,M1,False,3,2022-01-11T04:48:00.000000000Z,1.1339,1.1339,1.13387,1.13387,1.1338799999999998,521.6213933333335,460,1.133959550724638
54,54,EUR_USD,M1,False,5,2022-01-11T04:48:00.000000000Z,1.1339,1.1339,1.13386,1.13388,1.13388,527.2907933333335,465,1.133958695340502
55,55,EUR_USD,M1,False,6,2022-01-11T04:48:00.000000000Z,1.1339,1.1339,1.13386,1.13389,1.1338833333333334,534.0940933333335,471,1.133957735314933
56,56,EUR_USD,M1,False,7,2022-01-11T04:48:00.000000000Z,1.1339,1.1339,1.13386,1.1339,1.1338866666666665,542.0313000000001,478,1.1339566945606696
57,57,EUR_USD,M1,False,8,2022-01-11T04:48:00.000000000Z,1.1339,1.1339,1.13386,1.13389,1.1338833333333334,551.1023666666667,486,1.13395548696845
58,58,EUR_USD,M1,False,9,2022-01-11T04:48:00.000000000Z,1.1339,1.1339,1.13386,1.1339,1.1338866666666665,561.3073466666667,495,1.133954235690236
59,59,EUR_USD,M1,False,10,2022-01-11T04:48:00.000000000Z,1.1339,1.1339,1.13386,1.1339,1.1338866666666665,572.6462133333334,505,1.1339528976897693
60,60,EUR_USD,M1,False,11,2022-01-11T04:48:00.000000000Z,1.1339,1.1339,1.13386,1.1339,1.1338866666666665,585.1189666666668,516,1.1339514857881139
61,61,EUR_USD,M1,False,3,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.1339,1.1339066666666666,588.5206866666667,519,1.1339512267180476
62,62,EUR_USD,M1,False,4,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.13391,1.13391,593.0563266666667,523,1.1339509114085404
63,63,EUR_USD,M1,False,5,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.1339,1.1339066666666666,598.72586,528,1.1339504924242425
64,64,EUR_USD,M1,False,6,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.13392,1.1339133333333333,605.52934,534,1.1339500749063671
65,65,EUR_USD,M1,False,7,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.13391,1.13391,613.46671,541,1.1339495563770796
66,66,EUR_USD,M1,False,8,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.13392,1.1339133333333333,622.5380166666667,549,1.1339490285367335
67,67,EUR_USD,M1,False,9,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.13391,1.13391,632.7432066666668,558,1.1339483990442056
68,68,EUR_USD,M1,False,10,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.13392,1.1339133333333333,644.08234,568,1.1339477816901409
69,69,EUR_USD,M1,False,11,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.1339,1.1339066666666666,656.5553133333334,579,1.1339470005757053
70,70,EUR_USD,M1,False,12,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.13391,1.13391,670.1622333333333,591,1.1339462492949803
71,71,EUR_USD,M1,False,13,2022-01-11T04:49:00.000000000Z,1.13392,1.13392,1.1339,1.13392,1.1339133333333333,684.9031066666666,604,1.1339455408388521
72,72,EUR_USD,M1,False,14,2022-01-11T04:49:00.000000000Z,1.13392,1.13395,1.1339,1.13395,1.1339333333333335,700.7781733333334,618,1.1339452642934198
73,73,EUR_USD,M1,False,15,2022-01-11T04:49:00.000000000Z,1.13392,1.13396,1.1339,1.13396,1.13394,717.7872733333334,633,1.13394513954713
74,74,EUR_USD,M1,False,16,2022-01-11T04:49:00.000000000Z,1.13392,1.13396,1.1339,1.13395,1.1339366666666666,735.93026,649,1.1339449306625577
75,75,EUR_USD,M1,False,19,2022-01-11T04:49:00.000000000Z,1.13392,1.13396,1.1339,1.1339,1.1339199999999998,757.47474,668,1.1339442215568862
76,76,EUR_USD,M1,True,19,2022-01-11T04:49:00.000000000Z,1.13392,1.13396,1.1339,1.1339,1.1339199999999998,779.01922,687,1.1339435516739447
77,77,EUR_USD,M1,False,1,2022-01-11T04:50:00.000000000Z,1.13392,1.13392,1.13392,1.13392,1.13392,780.15314,688,1.1339435174418604
78,78,EUR_USD,M1,False,1,2022-01-11T04:51:00.000000000Z,1.1339,1.1339,1.1339,1.1339,1.1339,781.28704,689,1.1339434542815676
79,79,EUR_USD,M1,True,1,2022-01-11T04:51:00.000000000Z,1.1339,1.1339,1.1339,1.1339,1.1339,782.4209400000001,690,1.133943391304348
80,80,EUR_USD,M1,False,1,2022-01-11T04:52:00.000000000Z,1.13389,1.13389,1.13389,1.13389,1.13389,783.55483,691,1.1339433140376267
81,81,EUR_USD,M1,True,1,2022-01-11T04:52:00.000000000Z,1.13389,1.13389,1.13389,1.13389,1.13389,784.68872,692,1.1339432369942197
82,82,EUR_USD,M1,False,1,2022-01-11T04:53:00.000000000Z,1.13391,1.13391,1.13391,1.13391,1.13391,785.82263,693,1.133943189033189
83,83,EUR_USD,M1,True,1,2022-01-11T04:53:00.000000000Z,1.13391,1.13391,1.13391,1.13391,1.13391,786.95654,694,1.1339431412103746
84,84,EUR_USD,M1,False,3,2022-01-11T04:54:00.000000000Z,1.13393,1.13398,1.13393,1.13398,1.1339633333333332,790.35843,697,1.1339432281205164
85,85,EUR_USD,M1,False,4,2022-01-11T04:54:00.000000000Z,1.13393,1.13398,1.13393,1.13396,1.1339566666666667,794.8942566666667,701,1.1339433048026628
86,86,EUR_USD,M1,False,2,2022-01-11T04:55:00.000000000Z,1.13397,1.13398,1.13397,1.13398,1.1339766666666666,797.1622100000001,703,1.133943399715505
87,87,EUR_USD,M1,False,4,2022-01-11T04:55:00.000000000Z,1.13397,1.13398,1.13397,1.13398,1.1339766666666666,801.6981166666667,707,1.1339435879302215
88,88,EUR_USD,M1,False,5,2022-01-11T04:55:00.000000000Z,1.13397,1.13399,1.13397,1.13399,1.1339833333333333,807.3680333333334,712,1.1339438670411985
89,89,EUR_USD,M1,False,7,2022-01-11T04:55:00.000000000Z,1.13397,1.13402,1.13397,1.13402,1.1340033333333335,815.3060566666668,719,1.133944445989801
90,90,EUR_USD,M1,False,8,2022-01-11T04:55:00.000000000Z,1.13397,1.13402,1.13397,1.134,1.1339966666666668,824.3780300000001,727,1.1339450206327373
91,91,EUR_USD,M1,False,9,2022-01-11T04:55:00.000000000Z,1.13397,1.13402,1.13397,1.13402,1.1340033333333335,834.5840600000001,736,1.1339457336956524
92,92,EUR_USD,M1,False,10,2022-01-11T04:55:00.000000000Z,1.13397,1.13402,1.13397,1.13402,1.1340033333333335,845.9240933333334,746,1.1339465058087579
