,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
9391,EUR_USD,S5,True,10,2022-01-07T08:10:15.000000000Z,1.1303,1.13032,1.13029,1.13029
9443,EUR_USD,S5,True,3,2022-01-07T08:10:30.000000000Z,1.13028,1.1303,1.13028,1.1303
9494,EUR_USD,S5,True,1,2022-01-07T08:10:45.000000000Z,1.13028,1.13028,1.13028,1.13028
9527,EUR_USD,S5,True,8,2022-01-07T08:10:55.000000000Z,1.13022,1.13026,1.13017,1.13019
9578,EUR_USD,S5,True,1,2022-01-07T08:11:10.000000000Z,1.13018,1.13018,1.13018,1.13018
9597,EUR_USD,S5,True,16,2022-01-07T08:11:15.000000000Z,1.13018,1.13024,1.13018,1.1302
9612,EUR_USD,S5,True,7,2022-01-07T08:11:20.000000000Z,1.13022,1.13022,1.13016,1.13018
9643,EUR_USD,S5,True,3,2022-01-07T08:11:25.000000000Z,1.13018,1.13018,1.13018,1.13018
9659,EUR_USD,S5,True,5,2022-01-07T08:11:35.000000000Z,1.13019,1.1302,1.13018,1.1302
9774,EUR_USD,S5,True,2,2022-01-07T08:12:10.000000000Z,1.13022,1.13022,1.1302,1.1302
9789,EUR_USD,S5,True,1,2022-01-07T08:12:15.000000000Z,1.13018,1.13018,1.13018,1.13018
9838,EUR_USD,S5,True,1,2022-01-07T08:12:25.000000000Z,1.13022,1.13022,1.13022,1.13022
9885,EUR_USD,S5,True,7,2022-01-07T08:12:40.000000000Z,1.13023,1.13029,1.13023,1.13029
9919,EUR_USD,S5,True,10,2022-01-07T08:12:55.000000000Z,1.13028,1.13032,1.13028,1.13032
9947,EUR_USD,S5,True,6,2022-01-07T08:13:00.000000000Z,1.1303,1.1303,1.13026,1.13028
9964,EUR_USD,S5,True,7,2022-01-07T08:13:10.000000000Z,1.13026,1.13029,1.13025,1.13029
9982,EUR_USD,S5,True,7,2022-01-07T08:13:15.000000000Z,1.1303,1.13032,1.13028,1.1303
10059,EUR_USD,S5,True,6,2022-01-07T08:13:35.000000000Z,1.13027,1.13032,1.13027,1.1303
10094,EUR_USD,S5,True,3,2022-01-07T08:13:50.000000000Z,1.1303,1.13032,1.1303,1.1303
10191,EUR_USD,S5,True,6,2022-01-07T08:14:15.000000000Z,1.13045,1.13047,1.13045,1.13046
10258,EUR_USD,S5,True,6,2022-01-07T08:14:40.000000000Z,1.13046,1.1305,1.13046,1.13048
10272,EUR_USD,S5,True,3,2022-01-07T08:14:45.000000000Z,1.13046,1.13048,1.13046,1.13046
10304,EUR_USD,S5,True,3,2022-01-07T08:14:55.000000000Z,1.13047,1.1305,1.13047,1.1305
10430,EUR_USD,S5,True,3,2022-01-07T08:15:30.000000000Z,1.13048,1.1305,1.13048,1.1305
10494,EUR_USD,S5,True,6,2022-01-07T08:15:50.000000000Z,1.13048,1.13053,1.13048,1.13052
10526,EUR_USD,S5,True,6,2022-01-07T08:16:00.000000000Z,1.13054,1.13054,1.13051,1.13052
10691,EUR_USD,S5,True,9,2022-01-07T08:16:55.000000000Z,1.1305,1.1305,1.13044,1.13048
10707,EUR_USD,S5,True,6,2022-01-07T08:17:00.000000000Z,1.1305,1.13053,1.1305,1.13052
10858,EUR_USD,S5,True,2,2022-01-07T08:17:40.000000000Z,1.13056,1.13058,1.13056,1.13058
10919,EUR_USD,S5,True,7,2022-01-07T08:18:00.000000000Z,1.13058,1.13062,1.13058,1.13061
10951,EUR_USD,S5,True,4,2022-01-07T08:18:10.000000000Z,1.13062,1.13062,1.13058,1.13058
10986,EUR_USD,S5,True,1,2022-01-07T08:18:20.000000000Z,1.13056,1.13056,1.13056,1.13056
11002,EUR_USD,S5,True,5,2022-01-07T08:18:30.000000000Z,1.13058,1.13058,1.13056,1.13056
11014,EUR_USD,S5,True,1,2022-01-07T08:18:35.000000000Z,1.13057,1.13057,1.13057,1.13057
11024,EUR_USD,S5,True,2,2022-01-07T08:18:40.000000000Z,1.13058,1.13058,1.13057,1.13057
11042,EUR_USD,S5,True,7,2022-01-07T08:18:45.000000000Z,1.13058,1.13058,1.13057,1.13058
11073,EUR_USD,S5,True,2,2022-01-07T08:18:55.000000000Z,1.13057,1.13059,1.13057,1.13059
11123,EUR_USD,S5,True,2,2022-01-07T08:19:10.000000000Z,1.13058,1.13058,1.13057,1.13057
11185,EUR_USD,S5,True,1,2022-01-07T08:19:25.000000000Z,1.13062,1.13062,1.13062,1.13062
11221,EUR_USD,S5,True,3,2022-01-07T08:19:40.000000000Z,1.13061,1.13061,1.1306,1.13061
11254,EUR_USD,S5,True,9,2022-01-07T08:19:45.000000000Z,1.13059,1.1306,1.13056,1.13056
11305,EUR_USD,S5,True,2,2022-01-07T08:20:00.000000000Z,1.13058,1.13059,1.13058,1.13059
11356,EUR_USD,S5,True,2,2022-01-07T08:20:20.000000000Z,1.13058,1.13059,1.13058,1.13059
11375,EUR_USD,S5,True,3,2022-01-07T08:20:25.000000000Z,1.13058,1.13059,1.13058,1.13058
11441,EUR_USD,S5,True,2,2022-01-07T08:20:45.000000000Z,1.13054,1.13056,1.13054,1.13056
11457,EUR_USD,S5,True,5,2022-01-07T08:20:50.000000000Z,1.13058,1.13058,1.13054,1.13054
11492,EUR_USD,S5,True,7,2022-01-07T08:21:00.000000000Z,1.13058,1.13064,1.13058,1.13064
11508,EUR_USD,S5,True,2,2022-01-07T08:21:05.000000000Z,1.13063,1.13063,1.13062,1.13062
11554,EUR_USD,S5,True,5,2022-01-07T08:21:15.000000000Z,1.13063,1.13064,1.1306,1.1306
11604,EUR_USD,S5,True,5,2022-01-07T08:21:30.000000000Z,1.13062,1.13064,1.13062,1.13062
11638,EUR_USD,S5,True,3,2022-01-07T08:21:40.000000000Z,1.13064,1.13064,1.1306,1.1306
11656,EUR_USD,S5,True,7,2022-01-07T08:21:50.000000000Z,1.1306,1.1306,1.13056,1.13056
11690,EUR_USD,S5,True,5,2022-01-07T08:22:00.000000000Z,1.13052,1.13054,1.13052,1.13054
11722,EUR_USD,S5,True,7,2022-01-07T08:22:10.000000000Z,1.13052,1.13054,1.13052,1.13052
11755,EUR_USD,S5,True,3,2022-01-07T08:22:15.000000000Z,1.13054,1.13056,1.13054,1.13056
11873,EUR_USD,S5,True,8,2022-01-07T08:22:50.000000000Z,1.13064,1.13068,1.13064,1.13068
11924,EUR_USD,S5,True,6,2022-01-07T08:23:05.000000000Z,1.13066,1.1307,1.13066,1.13068
11956,EUR_USD,S5,True,6,2022-01-07T08:23:15.000000000Z,1.13066,1.13066,1.13062,1.13064
11974,EUR_USD,S5,True,2,2022-01-07T08:23:25.000000000Z,1.13066,1.13067,1.13066,1.13067
12006,EUR_USD,S5,True,3,2022-01-07T08:23:30.000000000Z,1.13068,1.1307,1.13068,1.1307
12055,EUR_USD,S5,True,2,2022-01-07T08:23:50.000000000Z,1.13069,1.1307,1.13069,1.1307
12069,EUR_USD,S5,True,5,2022-01-07T08:23:55.000000000Z,1.13069,1.13071,1.13069,1.1307
12102,EUR_USD,S5,True,3,2022-01-07T08:24:05.000000000Z,1.13076,1.13078,1.13076,1.13077
12136,EUR_USD,S5,True,7,2022-01-07T08:24:10.000000000Z,1.13076,1.13078,1.13075,1.13076
12152,EUR_USD,S5,True,2,2022-01-07T08:24:20.000000000Z,1.13078,1.13078,1.13076,1.13076
12268,EUR_USD,S5,True,1,2022-01-07T08:24:50.000000000Z,1.13077,1.13077,1.13077,1.13077
12287,EUR_USD,S5,True,5,2022-01-07T08:25:00.000000000Z,1.13078,1.13078,1.13076,1.13076
12320,EUR_USD,S5,True,5,2022-01-07T08:25:10.000000000Z,1.13072,1.13074,1.13072,1.13073
12355,EUR_USD,S5,True,6,2022-01-07T08:25:20.000000000Z,1.13078,1.13078,1.13075,1.13077
12389,EUR_USD,S5,True,2,2022-01-07T08:25:30.000000000Z,1.13078,1.13078,1.13077,1.13077
12405,EUR_USD,S5,True,4,2022-01-07T08:25:35.000000000Z,1.13076,1.13076,1.13073,1.13074
12422,EUR_USD,S5,True,5,2022-01-07T08:25:40.000000000Z,1.13076,1.13076,1.13074,1.13076
12458,EUR_USD,S5,True,1,2022-01-07T08:25:50.000000000Z,1.13077,1.13077,1.13077,1.13077
12473,EUR_USD,S5,True,8,2022-01-07T08:25:55.000000000Z,1.13078,1.13083,1.13077,1.13083
12543,EUR_USD,S5,True,4,2022-01-07T08:26:10.000000000Z,1.13078,1.1308,1.13078,1.1308
12592,EUR_USD,S5,True,1,2022-01-07T08:26:25.000000000Z,1.13079,1.13079,1.13079,1.13079
12609,EUR_USD,S5,True,2,2022-01-07T08:26:35.000000000Z,1.13078,1.13078,1.13076,1.13076
12660,EUR_USD,S5,True,5,2022-01-07T08:26:50.000000000Z,1.13069,1.13069,1.13066,1.13069
12694,EUR_USD,S5,True,10,2022-01-07T08:27:00.000000000Z,1.13064,1.13064,1.13059,1.13062
12731,EUR_USD,S5,True,4,2022-01-07T08:27:05.000000000Z,1.13063,1.13067,1.13063,1.13067
12747,EUR_USD,S5,True,9,2022-01-07T08:27:15.000000000Z,1.13064,1.13066,1.13063,1.13064
12816,EUR_USD,S5,True,8,2022-01-07T08:27:30.000000000Z,1.13065,1.13065,1.13058,1.13058
12836,EUR_USD,S5,True,1,2022-01-07T08:27:40.000000000Z,1.13056,1.13056,1.13056,1.13056
12870,EUR_USD,S5,True,8,2022-01-07T08:27:50.000000000Z,1.13057,1.13062,1.13057,1.13062
12901,EUR_USD,S5,True,6,2022-01-07T08:27:55.000000000Z,1.13061,1.13063,1.1306,1.13063
13021,EUR_USD,S5,True,4,2022-01-07T08:28:30.000000000Z,1.13068,1.13072,1.13068,1.13072
13069,EUR_USD,S5,True,5,2022-01-07T08:28:45.000000000Z,1.1307,1.13072,1.1307,1.13072
13105,EUR_USD,S5,True,6,2022-01-07T08:29:00.000000000Z,1.13074,1.13078,1.13074,1.13078
13139,EUR_USD,S5,True,2,2022-01-07T08:29:05.000000000Z,1.1308,1.1308,1.13078,1.13078
13159,EUR_USD,S5,True,1,2022-01-07T08:29:15.000000000Z,1.1308,1.1308,1.1308,1.1308
13193,EUR_USD,S5,True,2,2022-01-07T08:29:25.000000000Z,1.13078,1.13078,1.13076,1.13076
13241,EUR_USD,S5,True,4,2022-01-07T08:29:35.000000000Z,1.13077,1.1308,1.13077,1.13079
13294,EUR_USD,S5,True,2,2022-01-07T08:29:55.000000000Z,1.13078,1.13078,1.13077,1.13077
13345,EUR_USD,S5,True,8,2022-01-07T08:30:10.000000000Z,1.13063,1.13064,1.13062,1.13064
13361,EUR_USD,S5,True,6,2022-01-07T08:30:15.000000000Z,1.13063,1.13064,1.13061,1.13061
13395,EUR_USD,S5,True,4,2022-01-07T08:30:20.000000000Z,1.13062,1.13063,1.1306,1.1306
13499,EUR_USD,S5,True,5,2022-01-07T08:30:50.000000000Z,1.1307,1.13073,1.1307,1.13072
13534,EUR_USD,S5,True,8,2022-01-07T08:31:00.000000000Z,1.13074,1.13076,1.13072,1.13072
13588,EUR_USD,S5,True,4,2022-01-07T08:31:20.000000000Z,1.13076,1.13078,1.13076,1.13077
13639,EUR_USD,S5,True,4,2022-01-07T08:31:30.000000000Z,1.13075,1.13077,1.13075,1.13077
13673,EUR_USD,S5,True,1,2022-01-07T08:31:40.000000000Z,1.13076,1.13076,1.13076,1.13076
13691,EUR_USD,S5,True,2,2022-01-07T08:31:50.000000000Z,1.13074,1.13075,1.13074,1.13075
13726,EUR_USD,S5,True,8,2022-01-07T08:32:00.000000000Z,1.13076,1.13086,1.13076,1.13086
13827,EUR_USD,S5,True,1,2022-01-07T08:32:30.000000000Z,1.13077,1.13077,1.13077,1.13077
13947,EUR_USD,S5,True,1,2022-01-07T08:33:00.000000000Z,1.13082,1.13082,1.13082,1.13082
13982,EUR_USD,S5,True,15,2022-01-07T08:33:15.000000000Z,1.13081,1.13081,1.13066,1.13068
14114,EUR_USD,S5,True,2,2022-01-07T08:33:55.000000000Z,1.13072,1.13072,1.13072,1.13072
14166,EUR_USD,S5,True,3,2022-01-07T08:34:10.000000000Z,1.13067,1.1307,1.13067,1.1307
14215,EUR_USD,S5,True,1,2022-01-07T08:34:20.000000000Z,1.13068,1.13068,1.13068,1.13068
14234,EUR_USD,S5,True,2,2022-01-07T08:34:30.000000000Z,1.1307,1.1307,1.13069,1.13069
14270,EUR_USD,S5,True,7,2022-01-07T08:34:40.000000000Z,1.13074,1.13074,1.1307,1.13072
14286,EUR_USD,S5,True,1,2022-01-07T08:34:45.000000000Z,1.13072,1.13072,1.13072,1.13072
14303,EUR_USD,S5,True,5,2022-01-07T08:34:50.000000000Z,1.13073,1.13074,1.13072,1.13073
14338,EUR_USD,S5,True,1,2022-01-07T08:35:00.000000000Z,1.1307,1.1307,1.1307,1.1307
14372,EUR_USD,S5,True,1,2022-01-07T08:35:10.000000000Z,1.13074,1.13074,1.13074,1.13074
14407,EUR_USD,S5,True,7,2022-01-07T08:35:20.000000000Z,1.13074,1.13078,1.13074,1.13078
14458,EUR_USD,S5,True,2,2022-01-07T08:35:30.000000000Z,1.13076,1.13078,1.13076,1.13078
14495,EUR_USD,S5,True,7,2022-01-07T08:35:40.000000000Z,1.1308,1.13083,1.13078,1.13078
14558,EUR_USD,S5,True,4,2022-01-07T08:36:05.000000000Z,1.13076,1.13076,1.13072,1.13074
14594,EUR_USD,S5,True,2,2022-01-07T08:36:15.000000000Z,1.13084,1.13084,1.13082,1.13082
14626,EUR_USD,S5,True,2,2022-01-07T08:36:25.000000000Z,1.13081,1.13082,1.13081,1.13082
14676,EUR_USD,S5,True,1,2022-01-07T08:36:35.000000000Z,1.13084,1.13084,1.13084,1.13084
14747,EUR_USD,S5,True,14,2022-01-07T08:37:00.000000000Z,1.13084,1.13088,1.13083,1.13088
14781,EUR_USD,S5,True,4,2022-01-07T08:37:10.000000000Z,1.13089,1.13089,1.13085,1.13085
14868,EUR_USD,S5,True,1,2022-01-07T08:37:35.000000000Z,1.13088,1.13088,1.13088,1.13088
14937,EUR_USD,S5,True,4,2022-01-07T08:37:55.000000000Z,1.13093,1.13096,1.13093,1.13094
14970,EUR_USD,S5,True,5,2022-01-07T08:38:00.000000000Z,1.13096,1.13096,1.13094,1.13094
15004,EUR_USD,S5,True,1,2022-01-07T08:38:10.000000000Z,1.13096,1.13096,1.13096,1.13096
15038,EUR_USD,S5,True,2,2022-01-07T08:38:30.000000000Z,1.13108,1.13108,1.13108,1.13108
15071,EUR_USD,S5,True,2,2022-01-07T08:38:40.000000000Z,1.13098,1.131,1.13098,1.131
15086,EUR_USD,S5,True,2,2022-01-07T08:38:45.000000000Z,1.13098,1.13098,1.13096,1.13096
15117,EUR_USD,S5,True,5,2022-01-07T08:38:55.000000000Z,1.131,1.13105,1.131,1.13105
15168,EUR_USD,S5,True,1,2022-01-07T08:39:10.000000000Z,1.13099,1.13099,1.13099,1.13099
15287,EUR_USD,S5,True,6,2022-01-07T08:39:45.000000000Z,1.13099,1.13104,1.13099,1.13104
15316,EUR_USD,S5,True,5,2022-01-07T08:39:55.000000000Z,1.131,1.13102,1.13099,1.131
15335,EUR_USD,S5,True,7,2022-01-07T08:40:00.000000000Z,1.13099,1.131,1.13098,1.13099
15353,EUR_USD,S5,True,5,2022-01-07T08:40:05.000000000Z,1.13098,1.13098,1.13096,1.13098
15388,EUR_USD,S5,True,5,2022-01-07T08:40:15.000000000Z,1.13097,1.131,1.13097,1.131
15423,EUR_USD,S5,True,11,2022-01-07T08:40:20.000000000Z,1.13098,1.131,1.13096,1.13096
15456,EUR_USD,S5,True,6,2022-01-07T08:40:35.000000000Z,1.13102,1.13104,1.13102,1.13103
15490,EUR_USD,S5,True,9,2022-01-07T08:40:45.000000000Z,1.13107,1.13113,1.13107,1.13111
15508,EUR_USD,S5,True,8,2022-01-07T08:40:50.000000000Z,1.1311,1.1311,1.13105,1.13105
15543,EUR_USD,S5,True,4,2022-01-07T08:41:00.000000000Z,1.13097,1.13097,1.13094,1.13096
15576,EUR_USD,S5,True,3,2022-01-07T08:41:05.000000000Z,1.13098,1.131,1.13098,1.131
15611,EUR_USD,S5,True,2,2022-01-07T08:41:15.000000000Z,1.131,1.131,1.131,1.131
15647,EUR_USD,S5,True,13,2022-01-07T08:41:25.000000000Z,1.13102,1.13102,1.13094,1.13094
15717,EUR_USD,S5,True,3,2022-01-07T08:41:45.000000000Z,1.13088,1.13088,1.13086,1.13087
15767,EUR_USD,S5,True,2,2022-01-07T08:42:00.000000000Z,1.13093,1.13094,1.13093,1.13094
15801,EUR_USD,S5,True,3,2022-01-07T08:42:15.000000000Z,1.13097,1.131,1.13097,1.131
15813,EUR_USD,S5,True,10,2022-01-07T08:42:20.000000000Z,1.13099,1.13101,1.13094,1.13094
15847,EUR_USD,S5,True,11,2022-01-07T08:42:25.000000000Z,1.13094,1.13098,1.13094,1.13095
15882,EUR_USD,S5,True,8,2022-01-07T08:42:40.000000000Z,1.13096,1.131,1.13096,1.13096
15933,EUR_USD,S5,True,6,2022-01-07T08:42:50.000000000Z,1.13098,1.13099,1.13096,1.13099
15985,EUR_USD,S5,True,2,2022-01-07T08:43:05.000000000Z,1.13098,1.13099,1.13098,1.13099
16002,EUR_USD,S5,True,16,2022-01-07T08:43:15.000000000Z,1.13098,1.13098,1.1308,1.1308
16033,EUR_USD,S5,True,12,2022-01-07T08:43:20.000000000Z,1.1308,1.13084,1.1308,1.13084
16049,EUR_USD,S5,True,10,2022-01-07T08:43:30.000000000Z,1.13086,1.13092,1.13086,1.13092
16132,EUR_USD,S5,True,6,2022-01-07T08:43:50.000000000Z,1.13089,1.13089,1.13082,1.13082
16149,EUR_USD,S5,True,4,2022-01-07T08:44:00.000000000Z,1.13084,1.13088,1.13084,1.13086
16167,EUR_USD,S5,True,10,2022-01-07T08:44:05.000000000Z,1.13088,1.13098,1.13088,1.13098
16200,EUR_USD,S5,True,1,2022-01-07T08:44:15.000000000Z,1.13102,1.13102,1.13102,1.13102
16218,EUR_USD,S5,True,7,2022-01-07T08:44:20.000000000Z,1.131,1.13104,1.13098,1.13104
16235,EUR_USD,S5,True,9,2022-01-07T08:44:25.000000000Z,1.13107,1.13108,1.13104,1.13106
16253,EUR_USD,S5,True,8,2022-01-07T08:44:30.000000000Z,1.13106,1.1311,1.13106,1.13106
16288,EUR_USD,S5,True,2,2022-01-07T08:44:40.000000000Z,1.13108,1.13108,1.13107,1.13107
16341,EUR_USD,S5,True,5,2022-01-07T08:44:55.000000000Z,1.13116,1.1312,1.13116,1.1312
16373,EUR_USD,S5,True,10,2022-01-07T08:45:05.000000000Z,1.13116,1.1312,1.13116,1.1312
16391,EUR_USD,S5,True,8,2022-01-07T08:45:10.000000000Z,1.13119,1.13119,1.1311,1.1311
16477,EUR_USD,S5,True,2,2022-01-07T08:45:35.000000000Z,1.13101,1.13101,1.131,1.131
16493,EUR_USD,S5,True,1,2022-01-07T08:45:40.000000000Z,1.13101,1.13101,1.13101,1.13101
16545,EUR_USD,S5,True,8,2022-01-07T08:45:50.000000000Z,1.13104,1.13108,1.13104,1.13108
16681,EUR_USD,S5,True,8,2022-01-07T08:46:35.000000000Z,1.13126,1.13128,1.13126,1.13128
16697,EUR_USD,S5,True,1,2022-01-07T08:46:40.000000000Z,1.13128,1.13128,1.13128,1.13128
16714,EUR_USD,S5,True,4,2022-01-07T08:46:45.000000000Z,1.13132,1.13132,1.1313,1.13132
16748,EUR_USD,S5,True,6,2022-01-07T08:46:55.000000000Z,1.13134,1.13134,1.13132,1.13132
16852,EUR_USD,S5,True,1,2022-01-07T08:47:20.000000000Z,1.13136,1.13136,1.13136,1.13136
16886,EUR_USD,S5,True,5,2022-01-07T08:47:30.000000000Z,1.13138,1.1314,1.13134,1.13134
16904,EUR_USD,S5,True,2,2022-01-07T08:47:40.000000000Z,1.13136,1.13138,1.13136,1.13138
16990,EUR_USD,S5,True,5,2022-01-07T08:48:05.000000000Z,1.13139,1.13139,1.13134,1.13134
17024,EUR_USD,S5,True,3,2022-01-07T08:48:10.000000000Z,1.13133,1.13135,1.13133,1.13135
17076,EUR_USD,S5,True,3,2022-01-07T08:48:25.000000000Z,1.13134,1.13134,1.13131,1.13131
17093,EUR_USD,S5,True,3,2022-01-07T08:48:35.000000000Z,1.1313,1.13131,1.1313,1.1313
17126,EUR_USD,S5,True,1,2022-01-07T08:48:40.000000000Z,1.13132,1.13132,1.13132,1.13132
17143,EUR_USD,S5,True,4,2022-01-07T08:48:50.000000000Z,1.1313,1.13131,1.1313,1.13131
17161,EUR_USD,S5,True,12,2022-01-07T08:48:55.000000000Z,1.1313,1.13132,1.1313,1.1313
17243,EUR_USD,S5,True,2,2022-01-07T08:49:20.000000000Z,1.13152,1.13154,1.13152,1.13154
17262,EUR_USD,S5,True,9,2022-01-07T08:49:25.000000000Z,1.13152,1.13152,1.13145,1.13146
17278,EUR_USD,S5,True,7,2022-01-07T08:49:30.000000000Z,1.13145,1.13149,1.13145,1.13146
17312,EUR_USD,S5,True,2,2022-01-07T08:49:40.000000000Z,1.13148,1.13148,1.13146,1.13146
17344,EUR_USD,S5,True,12,2022-01-07T08:49:45.000000000Z,1.13148,1.13148,1.1314,1.1314
17379,EUR_USD,S5,True,6,2022-01-07T08:50:00.000000000Z,1.13138,1.13139,1.13136,1.13138
17397,EUR_USD,S5,True,10,2022-01-07T08:50:05.000000000Z,1.13138,1.13139,1.13136,1.13138
17414,EUR_USD,S5,True,2,2022-01-07T08:50:10.000000000Z,1.13138,1.13138,1.13136,1.13136
17498,EUR_USD,S5,True,1,2022-01-07T08:50:35.000000000Z,1.13134,1.13134,1.13134,1.13134
17516,EUR_USD,S5,True,3,2022-01-07T08:50:40.000000000Z,1.13135,1.13135,1.13133,1.13133
17561,EUR_USD,S5,True,4,2022-01-07T08:50:50.000000000Z,1.13138,1.13138,1.13136,1.13136
17625,EUR_USD,S5,True,6,2022-01-07T08:51:15.000000000Z,1.13124,1.1313,1.13124,1.13129
17657,EUR_USD,S5,True,3,2022-01-07T08:51:20.000000000Z,1.13128,1.13128,1.13124,1.13124
