Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,EMA
EUR_USD,D,,,2021-11-30T00:00:00.000000000Z,1.13052,1.13823,1.12335,1.13383,1.1717
EUR_USD,D,,,2021-12-01T00:00:00.000000000Z,1.13383,1.13592,1.13018,1.1319,1.1713
EUR_USD,D,,,2021-12-02T00:00:00.000000000Z,1.1319,1.1347,1.12946,1.13001,1.1709
EUR_USD,D,,,2021-12-03T00:00:00.000000000Z,1.13001,1.13329,1.12659,1.13059,1.1705
EUR_USD,D,,,2021-12-06T00:00:00.000000000Z,1.13059,1.13104,1.12658,1.12848,1.17
EUR_USD,D,,,2021-12-07T00:00:00.000000000Z,1.12848,1.12977,1.12266,1.12678,1.1696
EUR_USD,D,,,2021-12-08T00:00:00.000000000Z,1.12678,1.13543,1.12617,1.13424,1.1693
EUR_USD,D,,,2021-12-09T00:00:00.000000000Z,1.13424,1.13447,1.12777,1.12923,1.1689
EUR_USD,D,,,2021-12-10T00:00:00.000000000Z,1.12923,1.13233,1.12644,1.13166,1.1685
EUR_USD,D,,,2021-12-13T00:00:00.000000000Z,1.13166,1.13186,1.12595,1.12854,1.1681
EUR_USD,D,,,2021-12-14T00:00:00.000000000Z,1.12854,1.13232,1.1253,1.12564,1.1677
EUR_USD,D,,,2021-12-15T00:00:00.000000000Z,1.12564,1.12984,1.12208,1.12939,1.1673
EUR/USD,D,,,2021-12-15T00:00:00.000000000Z,1.12564,1.12984,1.12208,1.12939,1.1669
EUR/USD,D,,,2021-12-16T00:00:00.000000000Z,1.12939,1.13596,1.12805,1.13297,1.1666
EUR/USD,D,,,2021-12-17T00:00:00.000000000Z,1.13297,1.13483,1.12338,1.12349,1.1662
EUR/USD,D,,,2021-12-20T00:00:00.000000000Z,1.12349,1.13034,1.1233,1.12757,1.1658
EUR/USD,D,,,2021-12-21T00:00:00.000000000Z,1.12757,1.13019,1.12602,1.12832,1.1654
EUR/USD,D,,,2021-12-22T00:00:00.000000000Z,1.12832,1.13418,1.12637,1.13266,1.1651
EUR/USD,D,,,2021-12-23T00:00:00.000000000Z,1.13266,1.13417,1.12895,1.13264,1.1647
EUR/USD,D,,,2021-12-24T00:00:00.000000000Z,1.13262,1.13429,1.13012,1.13055,1.1644
EUR/USD,D,,,2021-12-27T00:00:00.000000000Z,1.13055,1.13339,1.13022,1.13263,1.1641
EUR/USD,D,,,2021-12-28T00:00:00.000000000Z,1.13263,1.13328,1.12888,1.13075,1.1638
EUR/USD,D,,,2021-12-29T00:00:00.000000000Z,1.13075,1.13684,1.1273,1.13464,1.1635
EUR/USD,D,,,2021-12-30T00:00:00.000000000Z,1.13464,1.13592,1.12979,1.13249,1.1632
EUR/USD,D,,,2021-12-31T00:00:00.000000000Z,1.13249,1.13857,1.13026,1.1368,1.1629
EUR/USD,D,,,2022-01-03T00:00:00.000000000Z,1.1368,1.13779,1.1279,1.12966,1.1626
EUR/USD,D,,,2022-01-04T00:00:00.000000000Z,1.12966,1.13219,1.12717,1.12855,1.1622
EUR/USD,D,,,2022-01-05T00:00:00.000000000Z,1.12855,1.13458,1.12764,1.13121,1.1619
EUR/USD,D,,,2022-01-06T00:00:00.000000000Z,1.13121,1.13311,1.12839,1.12976,1.1616
EUR/USD,D,,,2022-01-07T00:00:00.000000000Z,1.12976,1.13642,1.12893,1.13603,1.1613
EUR/USD,D,,,2022-01-10T00:00:00.000000000Z,1.13603,1.13603,0.12844,1.13271,1.1611
