,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,ATR
3216,EUR_USD,M5,True,356,2022-01-26T09:00:00.000000000Z,1.1288,1.12912,1.12854,1.12908,0.000246744802979
3217,EUR_USD,M5,True,317,2022-01-26T09:05:00.000000000Z,1.1291,1.12916,1.12871,1.12882,0.00024877735495
3218,EUR_USD,M5,True,288,2022-01-26T09:10:00.000000000Z,1.12884,1.12896,1.12874,1.12884,0.0002484895814
3219,EUR_USD,M5,True,302,2022-01-26T09:15:00.000000000Z,1.12882,1.12894,1.12848,1.12859,0.000250604685586
3220,EUR_USD,M5,True,256,2022-01-26T09:20:00.000000000Z,1.1286,1.12866,1.12838,1.12864,0.00025089863873
3221,EUR_USD,M5,True,313,2022-01-26T09:25:00.000000000Z,1.12862,1.12884,1.12855,1.12876,0.000251289652343
3222,EUR_USD,M5,True,262,2022-01-26T09:30:00.000000000Z,1.12877,1.12886,1.12836,1.12838,0.00025377675582
3223,EUR_USD,M5,True,295,2022-01-26T09:35:00.000000000Z,1.12837,1.12872,1.12833,1.1286,0.000255138988261
3224,EUR_USD,M5,True,154,2022-01-26T09:40:00.000000000Z,1.12858,1.12866,1.12847,1.1286,0.000254487598379
3225,EUR_USD,M5,True,274,2022-01-26T09:45:00.000000000Z,1.12858,1.12885,1.1285,1.12851,0.000255442722395
3226,EUR_USD,M5,True,297,2022-01-26T09:50:00.000000000Z,1.12852,1.12867,1.12833,1.1284,0.000256288295171
3227,EUR_USD,M5,True,256,2022-01-26T09:55:00.000000000Z,1.12842,1.12874,1.1284,1.12869,0.000257125412219
3228,EUR_USD,M5,True,357,2022-01-26T10:00:00.000000000Z,1.12868,1.12882,1.12846,1.12848,0.000258154158097
3229,EUR_USD,M5,True,352,2022-01-26T10:05:00.000000000Z,1.12847,1.12874,1.12832,1.12846,0.000259772616516
3230,EUR_USD,M5,True,309,2022-01-26T10:10:00.000000000Z,1.12844,1.12848,1.12817,1.12847,0.000260274890351
3231,EUR_USD,M5,True,390,2022-01-26T10:15:00.000000000Z,1.12846,1.1285,1.12797,1.12802,0.000262972141447
3232,EUR_USD,M5,True,237,2022-01-26T10:20:00.000000000Z,1.12803,1.1285,1.12803,1.1285,0.000265142420033
3233,EUR_USD,M5,True,197,2022-01-26T10:25:00.000000000Z,1.12848,1.12854,1.12822,1.12827,0.000265690995833
3234,EUR_USD,M5,True,192,2022-01-26T10:30:00.000000000Z,1.12828,1.12833,1.12812,1.12814,0.000265134085874
3235,EUR_USD,M5,True,256,2022-01-26T10:35:00.000000000Z,1.12812,1.12812,1.12783,1.12787,0.000265582745016
3236,EUR_USD,M5,True,185,2022-01-26T10:40:00.000000000Z,1.12788,1.12822,1.12788,1.1282,0.000266426917565
3237,EUR_USD,M5,True,195,2022-01-26T10:45:00.000000000Z,1.12818,1.12818,1.12762,1.12768,0.00026956264839
3238,EUR_USD,M5,True,230,2022-01-26T10:50:00.000000000Z,1.12766,1.12798,1.12763,1.12792,0.000270367021906
3239,EUR_USD,M5,True,136,2022-01-26T10:55:00.000000000Z,1.12793,1.12816,1.12792,1.12816,0.000270063351687
3240,EUR_USD,M5,True,212,2022-01-26T11:00:00.000000000Z,1.12817,1.12824,1.12797,1.12804,0.00027006271817
3241,EUR_USD,M5,True,216,2022-01-26T11:05:00.000000000Z,1.12806,1.12822,1.12784,1.12784,0.000271162090988
3242,EUR_USD,M5,True,232,2022-01-26T11:10:00.000000000Z,1.12786,1.12811,1.12785,1.1281,0.000271150470078
3243,EUR_USD,M5,True,205,2022-01-26T11:15:00.000000000Z,1.12808,1.1283,1.12794,1.12826,0.000272038965378
3244,EUR_USD,M5,True,188,2022-01-26T11:20:00.000000000Z,1.12824,1.12839,1.12807,1.12811,0.000272518575724
3245,EUR_USD,M5,True,135,2022-01-26T11:25:00.000000000Z,1.1281,1.1282,1.12794,1.12809,0.000272393389967
3246,EUR_USD,M5,True,133,2022-01-26T11:30:00.000000000Z,1.1281,1.12811,1.1279,1.1279,0.000271769456067
3247,EUR_USD,M5,True,207,2022-01-26T11:35:00.000000000Z,1.12788,1.12805,1.12774,1.12793,0.000272151761506
