,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close
3350,EUR_USD,S5,False,6,2022-01-06T08:18:35.000000000Z,1.1294,1.12948,1.1294,1.12948
3351,EUR_USD,S5,False,10,2022-01-06T08:18:35.000000000Z,1.1294,1.12948,1.1294,1.12948
3367,EUR_USD,S5,True,10,2022-01-06T08:18:35.000000000Z,1.1294,1.12948,1.1294,1.12948
3377,EUR_USD,S5,False,3,2022-01-06T08:18:50.000000000Z,1.1295,1.12952,1.1295,1.12952
3378,EUR_USD,S5,False,4,2022-01-06T08:18:50.000000000Z,1.1295,1.12954,1.1295,1.12954
3381,EUR_USD,S5,False,6,2022-01-06T08:18:50.000000000Z,1.1295,1.12957,1.1295,1.12957
3382,EUR_USD,S5,False,8,2022-01-06T08:18:50.000000000Z,1.1295,1.12958,1.1295,1.12958
3384,EUR_USD,S5,False,1,2022-01-06T08:18:55.000000000Z,1.12956,1.12956,1.12956,1.12956
3385,EUR_USD,S5,False,4,2022-01-06T08:18:55.000000000Z,1.12956,1.12958,1.12956,1.12958
3388,EUR_USD,S5,False,10,2022-01-06T08:18:55.000000000Z,1.12956,1.12958,1.12956,1.12958
3389,EUR_USD,S5,False,15,2022-01-06T08:18:55.000000000Z,1.12956,1.12958,1.12956,1.12956
3390,EUR_USD,S5,False,18,2022-01-06T08:18:55.000000000Z,1.12956,1.12958,1.12956,1.12958
3392,EUR_USD,S5,False,1,2022-01-06T08:19:00.000000000Z,1.12957,1.12957,1.12957,1.12957
3396,EUR_USD,S5,False,2,2022-01-06T08:19:00.000000000Z,1.12957,1.12958,1.12957,1.12958
3403,EUR_USD,S5,False,4,2022-01-06T08:19:05.000000000Z,1.1296,1.1296,1.12958,1.12958
3404,EUR_USD,S5,False,5,2022-01-06T08:19:05.000000000Z,1.1296,1.1296,1.12958,1.12959
3411,EUR_USD,S5,False,1,2022-01-06T08:19:10.000000000Z,1.12958,1.12958,1.12958,1.12958
3420,EUR_USD,S5,False,4,2022-01-06T08:19:15.000000000Z,1.12957,1.12958,1.12957,1.12958
3422,EUR_USD,S5,False,7,2022-01-06T08:19:15.000000000Z,1.12957,1.12962,1.12957,1.12962
3425,EUR_USD,S5,True,7,2022-01-06T08:19:15.000000000Z,1.12957,1.12962,1.12957,1.12962
