,Unnamed: 0,Instrument,Granularity,Complete,Volume,Time,Open,High,Low,Close,Gains,Loss,Avg_Gain,Avg_Loss,RSI
141,6330,EUR_USD,S5,True,1,2022-01-07T07:55:20.000000000Z,1.13029,1.13029,1.13029,1.13029,0,2.99999999999745E-05,3.17218718720258E-05,1.67206071597749E-05,65.48
142,6364,EUR_USD,S5,True,5,2022-01-07T07:55:30.000000000Z,1.13027,1.13027,1.13023,1.13026,0,1.9999999999909E-05,2.53774974976207E-05,1.73764857278017E-05,59.36
143,6380,EUR_USD,S5,True,5,2022-01-07T07:55:35.000000000Z,1.13028,1.13032,1.13028,1.13032,9.99999999984347E-06,0,2.23019979980652E-05,1.39011885822414E-05,61.6
144,6396,EUR_USD,S5,True,4,2022-01-07T07:55:40.000000000Z,1.13033,1.13033,1.1303,1.13032,5.00000000001055E-05,0,2.78415983984733E-05,1.11209508657931E-05,71.46
145,6450,EUR_USD,S5,True,4,2022-01-07T07:55:55.000000000Z,1.13042,1.13042,1.13042,1.13042,8.99999999999235E-05,0,4.02732787187633E-05,8.89676069263446E-06,81.91
146,6483,EUR_USD,S5,True,2,2022-01-07T07:56:05.000000000Z,1.13044,1.13046,1.13044,1.13046,1.9999999999909E-05,0,3.62186229749925E-05,7.11740855410757E-06,83.58
147,6502,EUR_USD,S5,True,15,2022-01-07T07:56:10.000000000Z,1.13047,1.13052,1.13046,1.1305,3.00000000001965E-05,0,3.49748983800333E-05,5.69392684328606E-06,86
148,6520,EUR_USD,S5,True,2,2022-01-07T07:56:15.000000000Z,1.13048,1.1305,1.13048,1.1305,9.99999999984347E-06,0,2.99799187039953E-05,4.55514147462885E-06,86.81
149,6551,EUR_USD,S5,True,7,2022-01-07T07:56:20.000000000Z,1.13048,1.13053,1.13048,1.13052,0,0,2.39839349631962E-05,3.64411317970308E-06,86.81
150,6589,EUR_USD,S5,True,2,2022-01-07T07:56:35.000000000Z,1.1305,1.13053,1.1305,1.13053,2.0000000000131E-05,0,2.31871479705832E-05,2.91529054376246E-06,88.83
151,6624,EUR_USD,S5,True,4,2022-01-07T07:56:45.000000000Z,1.13052,1.13052,1.1305,1.13052,1.9999999999909E-05,0,2.25497183764484E-05,2.33223243500997E-06,90.63
152,6642,EUR_USD,S5,True,11,2022-01-07T07:56:50.000000000Z,1.13054,1.13056,1.13052,1.13054,2.0000000000131E-05,0,2.20397747011849E-05,1.86578594800798E-06,92.2
153,6692,EUR_USD,S5,True,4,2022-01-07T07:57:05.000000000Z,1.13052,1.13052,1.1305,1.1305,0,2.0000000000131E-05,1.76318197609479E-05,5.49262875843259E-06,76.25
154,6728,EUR_USD,S5,True,2,2022-01-07T07:57:15.000000000Z,1.13049,1.1305,1.13049,1.1305,0,2.99999999999745E-05,1.41054558087583E-05,1.0394103006741E-05,57.57
155,6744,EUR_USD,S5,True,6,2022-01-07T07:57:20.000000000Z,1.13052,1.13053,1.13051,1.13051,2.99999999999745E-05,0,1.72843646470016E-05,8.31528240539277E-06,67.52
156,6761,EUR_USD,S5,True,6,2022-01-07T07:57:25.000000000Z,1.13052,1.13053,1.13051,1.13051,0,0,1.38274917176012E-05,6.65222592431422E-06,67.52
157,6797,EUR_USD,S5,True,3,2022-01-07T07:57:30.000000000Z,1.13052,1.13054,1.13052,1.13052,0,0,1.1061993374081E-05,5.32178073945138E-06,67.52
