Open,High,Low,Close,Date,TR,ATR(SMA),ATR(RMA),SMA(High),SMA(Low)
1.13189,1.13742,1.13138,1.1373,18/Nov/2021,0.00604,0.006445,0.00666,1.13532,1.128875
1.1373,1.13733,1.12498,1.12819,19/Nov/2021,0.01235,0.009195,0.0095,1.137375,1.12818
1.12819,1.12905,1.12308,1.12344,22/Nov/2021,0.00597,0.00916,0.00774,1.13319,1.12403
1.12344,1.12751,1.1226,1.12492,23/Nov/2021,0.00491,0.00544,0.00632,1.12828,1.12284
1.12492,1.12554,1.11861,1.12008,24/Nov/2021,0.00693,0.00592,0.00662,1.126525,1.120605
1.12008,1.12298,1.11988,1.12092,25/Nov/2021,0.0031,0.005015,0.00486,1.12426,1.119245
1.12092,1.13343,1.12062,1.13102,26/Nov/2021,0.01281,0.007955,0.00883,1.128205,1.12025
1.13102,1.13163,1.12583,1.12925,29/Nov/2021,0.0058,0.009305,0.00731,1.13253,1.123225
1.12925,1.1383,1.1235,1.13392,30/Nov/2021,0.0148,0.0103,0.01106,1.134965,1.124665
1.13392,1.13598,1.13026,1.132,01/12/2021,0.00572,0.01026,0.00839,1.13714,1.12688
1.132,1.13478,1.12953,1.1301,02/12/2021,0.00525,0.005485,0.00682,1.13538,1.129895
1.1301,1.13338,1.12666,1.13109,03/12/2021,0.00672,0.005985,0.00677,1.13408,1.128095
1.13109,1.13133,1.12664,1.12857,06/12/2021,0.00469,0.005705,0.00573,1.132355,1.12665
1.12857,1.12986,1.12274,1.12686,07/12/2021,0.00712,0.005905,0.00643,1.130595,1.12469
1.12686,1.13548,1.12666,1.13433,08/12/2021,0.00882,0.00797,0.00763,1.13267,1.1247
1.13433,1.13462,1.12784,1.12933,09/12/2021,0.00678,0.0078,0.00721,1.13505,1.12725
1.12933,1.13246,1.12651,1.13178,10/12/2021,0.00595,0.006365,0.00658,1.13354,1.127175
1.13178,1.13194,1.12602,1.12862,13/12/2021,0.00592,0.005935,0.00625,1.1322,1.126265
1.12862,1.13239,1.12537,1.12574,14/12/2021,0.00702,0.00647,0.00664,1.132165,1.125695
1.12574,1.12992,1.12218,1.12948,15/12/2021,0.00774,0.00738,0.00719,1.131155,1.123775
1.12948,1.13604,1.12812,1.13306,16/12/2021,0.00792,0.00783,0.00755,1.13298,1.12515
1.13306,1.1349,1.1235,1.1236,17/12/2021,0.0114,0.00966,0.00948,1.13547,1.12581
1.1236,1.1304,1.12347,1.12766,20/12/2021,0.00693,0.009165,0.00821,1.13265,1.123485
1.12766,1.13026,1.12608,1.12841,21/12/2021,0.00418,0.005555,0.0062,1.13033,1.124775
1.12841,1.13425,1.12644,1.13276,22/12/2021,0.00781,0.005995,0.007,1.132255,1.12626
1.13276,1.13424,1.12902,1.13275,23/12/2021,0.00522,0.006515,0.00611,1.134245,1.12773
1.13275,1.13436,1.13037,1.13105,24/12/2021,0.00399,0.004605,0.00505,1.1343,1.129695
1.13105,1.13346,1.1303,1.13274,27/12/2021,0.00316,0.003575,0.0041,1.13391,1.130335
1.13274,1.13335,1.12896,1.13084,28/12/2021,0.00439,0.003775,0.00425,1.133405,1.12963
1.13084,1.1369,1.12738,1.13472,29/12/2021,0.00952,0.006955,0.00688,1.135125,1.12817
1.13472,1.136,1.12986,1.13256,30/12/2021,0.00614,0.00783,0.00651,1.13645,1.12862
1.13256,1.13864,1.13034,1.1373,31/12/2021,0.0083,0.00722,0.00741,1.13732,1.1301
1.1373,1.13795,1.12798,1.12974,03/01/2022,0.00997,0.009135,0.00869,1.138295,1.12916
1.12974,1.13224,1.12724,1.12864,04/01/2022,0.005,0.007485,0.00684,1.135095,1.12761
1.12864,1.13465,1.12772,1.13129,05/01/2022,0.00693,0.005965,0.00688,1.133445,1.12748
1.13129,1.13318,1.12846,1.12984,06/01/2022,0.00472,0.005825,0.0058,1.133915,1.12809
1.12984,1.13648,1.129,1.13616,07/01/2022,0.00748,0.0061,0.00664,1.13483,1.12873
1.13616,1.13616,1.1285,1.1328,10/01/2022,0.00766,0.00757,0.00715,1.13632,1.12875
1.1328,1.13755,1.1313,1.13693,11/01/2022,0.00625,0.006955,0.0067,1.136855,1.1299
1.13693,1.14528,1.13548,1.14409,12/01/2022,0.0098,0.008025,0.00825,1.141415,1.13339
1.14409,1.14818,1.14358,1.14541,13/01/2022,0.0046,0.0072,0.00642,1.14673,1.13953
1.14541,1.14827,1.13985,1.14154,14/01/2022,0.00842,0.00651,0.00742,1.148225,1.141715
1.14154,1.14344,1.13918,1.14064,17/01/2022,0.00426,0.00634,0.00584,1.145855,1.139515
1.14064,1.14216,1.13147,1.13278,18/01/2022,0.01069,0.007475,0.00827,1.1428,1.135325
